yt_id,imdb_id,length_seconds
4lat6XqtJ0A,tt0328828,169
d5jxXkpstv4,tt0119874,159
vBAK4o8zHF4,tt0318155,
AhH1Yqw-gmA,tt1951264,209
wwe_yos_-ew,tt0120684,
EYHLDJuEUoc,tt0305357,196
Yxzq9BLE5Hg,tt0097351,206
5vZ-SYX-4oY,tt1263670,160
j4OMpEp-bFk,tt1711525,
OxLmmTv6CTs,tt3110958,188
XMt98-MEWmw,tt1119646,121
2NPSwpdx6iQ,tt1731141,
LCt7YtB6P7g,tt0120696,112
F1SfzV67Bqw,tt0118715,146
uBPs4AHD52Y,tt0837562,
bllBC-ThwjQ,tt0457400,165
QCS1Gnwbtp0,tt0375063,162
ctrJ0-TLUHQ,tt0063522,162
xby81m1GtH8,tt0267913,
MIjkFrmSCYU,tt0082846,154
3oqt6V9aJIM,tt2005374,209
IV79EIZVuHQ,tt0141926,66
8wUtvaL4G9s,tt1013743,
PJpGMrH7RWs,tt0164184,162
IMYTK5IyZ9E,tt1450321,
8TcZDzWEVDM,tt4701182,143
XN7uqQnAxIc,tt0483607,
Z_0TQHoV_2I,tt1130884,161
G3BQd2K3maI,tt0256380,150
jlUPc1tu64s,tt0329575,
zJO4Chs7-lg,tt0192614,
ADMAw7UKLsg,tt0101921,
kJg3GP4tH94,tt0095489,
ypKY-4583qM,tt0325703,133
PomVYrPHoAg,tt2671706,143
-zoOpeF5Yzc,tt0335559,156
HCqR0_a6_so,tt0099810,136
L8eQ78agzQg,tt0207201,
9W5MiCLa9DU,tt0208003,161
1u0rQ7J3oS4,tt0455499,
ysIsqzXZyN0,tt0097733,164
74256F5BtiI,tt0276751,180
4cWDWIgBXrw,tt0448075,
4gjiQwh1p6M,tt0335266,
1FZ2FA-epcE,tt0112641,210
HFAGAjkDaOU,tt0090633,
LOxqK6o4NN0,tt0101912,160
OYlBy85zxdo,tt0076729,208
0_1NU60qHWs,tt0441773,
Pi392aPIVHc,tt0800003,224
NcMHcR5IzEY,tt2011159,138
o0lDxz0-Ukg,tt1979320,
0hNbRd78jOE,tt0120630,
BWWFJ2yjQGE,tt0104070,150
f58Ba78abHg,tt0386117,
QC0kTcAlf64,tt3960412,214
94J4AzRTLE8,tt2493486,208
y5oIDeR0YjA,tt1023111,97
2I91DJZKRxs,tt0073195,116
FRVB-HBxR98,tt0055798,155
S6iFW-HoFwc,tt0049730,145
PMmvUWqeS80,tt1065073,
rZlzxsrv4ow,tt0790736,159
_VIWqtzAHQ0,tt0119488,181
fWallK7KgrY,tt1175709,
8ZezvNWgi4M,tt0132477,172
Le-bfbn43WE,tt3605418,
tdCot34--pc,tt0070735,208
BWWfy9YSQmw,tt0320691,
v3E4s7VN4xE,tt0098084,135
MC_Wv7-i2Es,tt1634122,
SbTWLdT_tgk,tt0106598,120
DSGYElDi38s,tt0120601,173
qbfjO2d2S4Q,tt0340163,
Upr2DiiSRDE,tt0082200,198
In_UKcRXzHs,tt0036613,116
odUsOcEqT4g,tt0112642,
1UOLqmhi3AE,tt0976051,
3FG9eGmAPeY,tt0492389,174
I0EUKDhQ7vk,tt0053291,214
H-cxAVTmQ0I,tt1007029,
Tt2oL1sVVhM,tt1139668,149
Q4-XxWqSgH8,tt0241303,162
G8r48HzrYHE,tt3564472,98
WMIho_dolCA,tt0275022,
omiio7SJIOE,tt0434124,133
zpdFj0w6Eg8,tt0101889,161
vGqM44xx4zI,tt5912454,
iU0CuPH7akM,tt0093748,107
WjDLin6Egyw,tt0244244,225
Urj46blH8vo,tt1262416,162
2oMW26rEZUk,tt0805570,
oKXV-XQzUrY,tt0112431,
7_AiHZa026w,tt1327773,
srpCm9gPmZI,tt2967226,155
GSSXEGoO53Y,tt0119081,
VflasoWmuoA,tt1872181,160
Cx7ip9cWKJg,tt0150377,132
OJyRbpjlrmA,tt0852713,188
NgUGViWp3tg,tt0088323,
coeU38xEhVU,tt0385267,189
jj5CG9kzDYY,tt1250777,
fCuS78YHrOY,tt0098621,162
3mN85wFz_Vk,tt1343727,
GltdSC_5Zzw,tt0949731,162
nWRxPDhd3d0,tt0093748,
L5SM0HY5-vw,tt2911666,179
ndfLW-xm9Xk,tt0114694,81
rkPT_6JWenQ,tt2554274,155
2hWZyDGHNxI,tt0491747,
Wurqpe5tNjA,tt4550098,115
hFJlpOjXf9s,tt0159365,163
PPKdHP8zWuo,tt0375063,159
2xUynRdzzsM,tt0208092,153
E7CPLxlfKaw,tt1270262,
Snt_FLn3dwM,tt0144120,169
1TGWdRK-Ykk,tt2293640,
7_uvEuNwUj4,tt0105695,208
oIjgZ-i9v_k,tt0349205,162
CpIgfRGUpU0,tt0101745,164
ve1Brtly9Y4,tt1764234,
fr93wwtiKQM,tt0033467,170
-yyoLJuNIJU,tt2869728,209
QT1Tl6npLic,tt2223990,209
q2pzOimT9so,tt0493464,178
y5_Q3HufngU,tt1711525,
hEZcqWRB2iU,tt0087078,195
RbdGl6wRKDc,tt6857112,189
hPF9nzzuMfo,tt0274558,163
8gvuU-U64d0,tt0099204,161
4akqi6YYIJw,tt0358273,155
Lk5QIK3_Cjo,tt0107076,180
XjC8-nEGnrE,tt0467200,144
h0w6WywbohM,tt0082495,
j71oHN1i2pU,tt6095472,
V7yhBe0E85E,tt1250777,
7L2qP-xQ_7o,tt0118715,164
70eKt79PSQw,tt0837563,141
