yt_id,imdb_id,clip_length
4lat6XqtJ0A,tt0328828,169.0
d5jxXkpstv4,tt0119874,159.0
vBAK4o8zHF4,tt0318155,154.0
AhH1Yqw-gmA,tt1951264,209.0
wwe_yos_-ew,tt0120684,175.0
EYHLDJuEUoc,tt0305357,196.0
Yxzq9BLE5Hg,tt0097351,206.0
5vZ-SYX-4oY,tt1263670,160.0
j4OMpEp-bFk,tt1711525,144.0
OxLmmTv6CTs,tt3110958,188.0
XMt98-MEWmw,tt1119646,121.0
2NPSwpdx6iQ,tt1731141,209.0
LCt7YtB6P7g,tt0120696,112.0
F1SfzV67Bqw,tt0118715,146.0
uBPs4AHD52Y,tt0837562,158.0
bllBC-ThwjQ,tt0457400,165.0
QCS1Gnwbtp0,tt0375063,162.0
ctrJ0-TLUHQ,tt0063522,162.0
xby81m1GtH8,tt0267913,174.0
MIjkFrmSCYU,tt0082846,154.0
3oqt6V9aJIM,tt2005374,209.0
IV79EIZVuHQ,tt0141926,66.0
8wUtvaL4G9s,tt1013743,161.0
PJpGMrH7RWs,tt0164184,162.0
IMYTK5IyZ9E,tt1450321,195.0
8TcZDzWEVDM,tt4701182,143.0
XN7uqQnAxIc,tt0483607,202.0
Z_0TQHoV_2I,tt1130884,161.0
G3BQd2K3maI,tt0256380,150.0
jlUPc1tu64s,tt0329575,161.0
zJO4Chs7-lg,tt0192614,207.0
ADMAw7UKLsg,tt0101921,124.0
kJg3GP4tH94,tt0095489,162.0
ypKY-4583qM,tt0325703,133.0
PomVYrPHoAg,tt2671706,143.0
-zoOpeF5Yzc,tt0335559,156.0
HCqR0_a6_so,tt0099810,136.0
L8eQ78agzQg,tt0207201,140.0
9W5MiCLa9DU,tt0208003,161.0
1u0rQ7J3oS4,tt0455499,113.0
ysIsqzXZyN0,tt0097733,164.0
74256F5BtiI,tt0276751,180.0
4cWDWIgBXrw,tt0448075,162.0
4gjiQwh1p6M,tt0335266,182.0
1FZ2FA-epcE,tt0112641,210.0
HFAGAjkDaOU,tt0090633,141.0
LOxqK6o4NN0,tt0101912,160.0
OYlBy85zxdo,tt0076729,208.0
0_1NU60qHWs,tt0441773,161.0
Pi392aPIVHc,tt0800003,224.0
NcMHcR5IzEY,tt2011159,138.0
o0lDxz0-Ukg,tt1979320,201.0
0hNbRd78jOE,tt0120630,149.0
BWWFJ2yjQGE,tt0104070,150.0
f58Ba78abHg,tt0386117,112.0
QC0kTcAlf64,tt3960412,214.0
94J4AzRTLE8,tt2493486,208.0
y5oIDeR0YjA,tt1023111,97.0
2I91DJZKRxs,tt0073195,116.0
FRVB-HBxR98,tt0055798,155.0
S6iFW-HoFwc,tt0049730,145.0
PMmvUWqeS80,tt1065073,189.0
rZlzxsrv4ow,tt0790736,159.0
_VIWqtzAHQ0,tt0119488,181.0
fWallK7KgrY,tt1175709,100.0
8ZezvNWgi4M,tt0132477,172.0
Le-bfbn43WE,tt3605418,207.0
tdCot34--pc,tt0070735,208.0
BWWfy9YSQmw,tt0320691,162.0
v3E4s7VN4xE,tt0098084,135.0
MC_Wv7-i2Es,tt1634122,222.0
SbTWLdT_tgk,tt0106598,120.0
DSGYElDi38s,tt0120601,173.0
qbfjO2d2S4Q,tt0340163,153.0
Upr2DiiSRDE,tt0082200,198.0
In_UKcRXzHs,tt0036613,116.0
odUsOcEqT4g,tt0112642,170.0
1UOLqmhi3AE,tt0976051,219.0
3FG9eGmAPeY,tt0492389,174.0
I0EUKDhQ7vk,tt0053291,214.0
H-cxAVTmQ0I,tt1007029,125.0
Tt2oL1sVVhM,tt1139668,149.0
Q4-XxWqSgH8,tt0241303,162.0
G8r48HzrYHE,tt3564472,98.0
WMIho_dolCA,tt0275022,104.0
omiio7SJIOE,tt0434124,133.0
zpdFj0w6Eg8,tt0101889,161.0
vGqM44xx4zI,tt5912454,204.0
iU0CuPH7akM,tt0093748,107.0
WjDLin6Egyw,tt0244244,225.0
Urj46blH8vo,tt1262416,162.0
2oMW26rEZUk,tt0805570,186.0
oKXV-XQzUrY,tt0112431,209.0
7_AiHZa026w,tt1327773,152.0
srpCm9gPmZI,tt2967226,155.0
GSSXEGoO53Y,tt0119081,163.0
VflasoWmuoA,tt1872181,160.0
Cx7ip9cWKJg,tt0150377,132.0
OJyRbpjlrmA,tt0852713,188.0
NgUGViWp3tg,tt0088323,196.0
coeU38xEhVU,tt0385267,189.0
jj5CG9kzDYY,tt1250777,142.0
fCuS78YHrOY,tt0098621,162.0
3mN85wFz_Vk,tt1343727,241.0
GltdSC_5Zzw,tt0949731,162.0
nWRxPDhd3d0,tt0093748,132.0
L5SM0HY5-vw,tt2911666,179.0
ndfLW-xm9Xk,tt0114694,81.0
rkPT_6JWenQ,tt2554274,155.0
2hWZyDGHNxI,tt0491747,163.0
Wurqpe5tNjA,tt4550098,115.0
hFJlpOjXf9s,tt0159365,163.0
PPKdHP8zWuo,tt0375063,159.0
2xUynRdzzsM,tt0208092,153.0
E7CPLxlfKaw,tt1270262,206.0
Snt_FLn3dwM,tt0144120,169.0
1TGWdRK-Ykk,tt2293640,196.0
7_uvEuNwUj4,tt0105695,208.0
oIjgZ-i9v_k,tt0349205,162.0
CpIgfRGUpU0,tt0101745,164.0
ve1Brtly9Y4,tt1764234,156.0
fr93wwtiKQM,tt0033467,170.0
-yyoLJuNIJU,tt2869728,209.0
QT1Tl6npLic,tt2223990,209.0
q2pzOimT9so,tt0493464,178.0
y5_Q3HufngU,tt1711525,158.0
hEZcqWRB2iU,tt0087078,195.0
RbdGl6wRKDc,tt6857112,189.0
hPF9nzzuMfo,tt0274558,163.0
8gvuU-U64d0,tt0099204,161.0
4akqi6YYIJw,tt0358273,155.0
Lk5QIK3_Cjo,tt0107076,180.0
XjC8-nEGnrE,tt0467200,144.0
h0w6WywbohM,tt0082495,121.0
j71oHN1i2pU,tt6095472,157.0
V7yhBe0E85E,tt1250777,102.0
